;name;description;referrals;properties;history
11;Admiral Ackbar;A veteran commander, Ackbar led the defense of his homeworld, Mon Cala, during the Clone Wars and then masterminded the rebel attack on the second Death Star at the Battle of Endor. Ackbar realized the rebels had been drawn into a trap at Endor, but adjusted, with his fleet buying valuable time for the attack to succeed. After the Battle of Endor, Ackbar became a Grand Admiral in the New Republic, winning many victories including the pivotal Battle of Jakku. He retired to Mon Cala, but was coaxed back into service with the Resistance by Leia Organa.;['Mon Calamari', 'Mon Cala', 'Prince Lee-Char', 'Separatist', 'Quarren', 'Alliance', 'Empire', 'Emperor', 'second Death Star', 'Endor', 'Lando Calrissian', 'Wedge Antilles', 'the New Republic', 'Jakku', 'Leia Organa', 'Resistance'];{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)', 'Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Rebel Alliance', 'Galactic Republic', 'The Resistance', 'The New Republic'], 'Locations': ['Mon Cala'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.8m '], 'species': ['Mon Calamari'], 'Weapons': ['Blaster Pistol'], 'Vehicles': ['Mon Calamari Star Cruiser']};
12;Admiral Coburn;With a stern face, steely glare and unmistakable command presence, Admiral Coburn served at the side of General Plo Koon during the Clone Wars. The taciturn fleet officer measured his words precisely, offering clear commands in a clipped accent. Coburn's rigid military discipline served him well in executing some of the more daring missions under Jedi leadership. He commanded  a four-cruiser task force into the thick of a Separatist fleet cordon over Lola Sayu to facilitate the rescue of a strike team that invaded the Citadel installation. Coburn also led a Jedi light cruiser in extracting prisoners from the Zygerrian slave processing facility on Kadavo, steering the vessel dangerously close to the facility.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.81m '], 'Vehicles': ['Republic Attack Cruiser']};
13;Admiral Garrick Versio;An accomplished naval officer who brought his home world of Vardos under Imperial control, Garrick Versio was reassigned and promoted to Admiral following the destruction of the Death Star over Yavin 4. Garrick formed Inferno Squad to ensure nothing of the sort would happen again. Loyalty to the Empire is Admiral Versio’s first priority.;;{'Affiliations': ['Galactic Empire'], 'Locations': ['Vardos'], 'Gender': ['Male'], 'species': ['Human']};
14;Admiral Griss;A veteran First Order officer, Frantis Griss commands the Steadfast and its battlegroup and sits on the Supreme Council. He has an excellent relationship with Allegiant General Pryde, which proves useful when the First Order must coordinate its efforts with the Sith armada revealed at Exegol.;;{'Appearances': ['Star Wars: The Rise of Skywalker (Episode IX)'], 'Affiliations': ['The First Order', 'First Order Supreme Council'], 'Gender': ['Male'], 'species': ['Human']};
15;Admiral Karius;An intimidating mix of machine and man, Admiral Karius serves as Darth Vader’s second-in-command on Mustafar. Stern and unforgiving, he intends to see to it personally that the captain of the Windfall doesn’t survive their stay at Fortress Vader.;;{};
16;Admiral Kassius Konstantine;Admiral Kassius Konstantine was a leading officer on an Imperial Star Destroyer. Konstantine, however, ultimately answered to the Inquisitor, and took his ship wherever the Jedi hunter ordered him to.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male']};
17;Admiral Kilian;A by-the-manuals Republic officer, Admiral Kilian runs a tight ship. Nonetheless, a saboteur was able to slip into the clone cadet ranks during a training tour over Vanqor, and cripple the Jedi cruiser Endurance. Kilian, following naval tradition, refused to abandon ship. He became a hostage of notorious bounty hunters seeking revenge against the Jedi Order.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.72m '], 'Weapons': ['Blaster Pistol'], 'Vehicles': ['Republic Attack Cruiser']};
18;Admiral Motti;A young, ambitious Imperial officer from the Outer Rim world of Seswenna, Admiral Motti saw the Death Star as the ultimate power in the universe, and burned to use that power against any who dared challenge the Empire. The commander of the Star Destroyer Steel Talon, he served as one of the Imperial military’s Joint Chiefs, becoming an ally of Grand Moff Tarkin’s and head of naval operations aboard the Death Star. He died when the battle station was destroyed.;;{'Appearances': ['Star Wars: A New Hope (Episode IV)'], 'Affiliations': ['Galactic Empire'], 'Locations': ['Death Star'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.7m '], 'species': ['Human']};
19;Admiral Ozzel;Admiral Ozzel commanded the Super Star Destroyer Executor, Darth Vader's mighty flagship and the linchpin of the squadron searching the galaxy for the Alliance's secret base. Ozzel led the initial attack on Hoth, but his choice of tactics infuriated Vader, leading to a sudden and permanent demotion.;;{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.75m '], 'Vehicles': ['Executor']};
20;Admiral Piett;An ambitious Imperial officer, Piett rose through the ranks to captain and was assigned to the Super Star Destroyer Executor, Darth Vader's flagship. There, he chafed at having to serve under the foolish, vainglorious Admiral Ozzel. When Vader strangled Ozzel, Piett was granted a battlefield promotion to admiral -- and given a grisly warning of the penalty for failure. Miraculously, he survived his time as Vader's underling, but died when a Rebel starfighter destroyed the Executor's command bridge.;;{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)', 'Star Wars: Return of the Jedi (Episode VI)'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.65m '], 'Vehicles': ['Executor']};
21;Admiral Raddus;A gruff Mon Calamari officer, Raddus commands the rebel starfleet before the Battle of Yavin, working to knit a hodgepodge of ships into a military force and arrange the delivery of new capital ships to the Alliance. Raddus has little patience for the rebel council’s endless committee meetings. As he sees it, military muscle is the key to defeating the Empire, not stirring speeches.;;{'Appearances': ['Rogue One: A Star Wars Story'], 'Affiliations': ['Rebel Alliance'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.9m '], 'species': ['Mon Calamari'], 'Vehicles': ['The Profundity']};
22;Admiral Statura;A veteran Resistance officer, Statura fought to liberate his homeworld of Garel from the Empire while he was just a teenager. Later, Leia Organa recruited him to handle ship procurement and logistics for the Resistance. The technically savvy Statura helped identify the thermal oscillator as the key target in the Resistance’s attack on Starkiller Base.;;"{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The Resistance'], 'Locations': [""D'Qar""], 'Gender': ['Male'], 'Dimensions': ['Height: 1.72m '], 'species': ['Human']}";
23;Admiral Trench;A Separatist admiral known for his cunning and ruthlessness, Trench commands the Separatist blockade of Christophsis, where Senator Bail Organa and his relief effort are pinned down and in danger of capture. Although Anakin Skywalker outwits him and Trench's flagship is destroyed, the skilled tactician survives to fight another day thanks to an array of cybernetic implants.;['clone trooper Echo', 'Wat Tambor', 'Captain Rex', 'the Bad Batch', 'Anakin Skywalker'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Confederacy of Independent Systems'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.89m '], 'species': ['Harch'], 'Vehicles': ['Separatist Dreadnought']};
24;Aemon Gremm;The captain of Dryden Vos’s security forces, Gremm is an intimidating Hylobon who insists all security inquiries are funneled through him. A scar across his snout hints at a violent past.;;{'Appearances': ['Solo: A Star Wars Story'], 'Affiliations': ['Crimson Dawn'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.93m '], 'species': ['Hylobon']};
25;Aeosian Queen;The regal Aeosian Queen rules her people with a firm hand. After her tribe's healers were lost in an attack by the First Order, she seeks retribution against the next wave of trespassers on her world.;;{'Appearances': ['Star Wars Resistance'], 'Locations': ['Aeos Prime']};
26;Aftab Ackbar;To uphold the legacy of his father, Admiral Gial Ackbar’s son, Aftab, now serves the Resistance as a Y-wing pilot. Beyond his family's close ties to rebel efforts, Aftab’s recruitment was part of a larger effort to bring more Mon Calamari aid to the cause.;;{'Appearances': ['Star Wars: The Rise of Skywalker (Episode IX)'], 'Gender': ['Male'], 'species': ['Mon Calamari']};
27;Agen Kolar;A Zabrak Jedi Master, Agen Kolar was part of the Jedi strike team assembled by Mace Windu to rescue Obi-Wan Kenobi and other hostages taken by the Separatists on Geonosis. Kolar displayed his renowned skill with a lightsaber during the battle in the Geonosian arena, though his young Padawan died during the fighting. In the final days of the Clone Wars, Windu turned to Kolar again, calling on him, Saesee Tiin and Kit Fisto to arrest Supreme Chancellor Palpatine. Confronted by the Jedi, Palpatine threw off his guise and revealed himself as Darth Sidious. He ignited his crimson-bladed lightsaber and struck down Kolar.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Locations': ['Coruscant'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.7m '], 'species': ['Zabrak'], 'Weapons': ['Lightsaber']};
28;Agent Del Meeko;A versatile veteran of the Galactic Empire, Del Meeko witnessed the fall of the Jedi Order on Coruscant as a young boy. Del was so effective as a stormtrooper that he was chosen to serve as a shoretrooper on Scarif and eventually as chief engineer aboard a Star Destroyer. Del’s versatility was rewarded with recruitment into Inferno Squad, where he plays numerous roles: scout, sniper, pilot, intelligence officer, and whatever else Commander Iden Versio needs from him.;;{'Affiliations': ['Galactic Empire', 'Inferno Squad'], 'Locations': ['Coruscant'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['Corvus (ship)']};
29;Agent Gideon Hask;An orphan from Kuat, Gideon Hask found a family with the Empire. Having honed his combat skills from a young age, he was selected by Admiral Garrick Versio to join the special forces unit Inferno Squad. His bravery and dedication to the Empire are matched only by his disdain for those who would stand in its way.;;{'Affiliations': ['Galactic Empire', 'Inferno Squad'], 'Locations': ['Vardos', 'Kuat'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['Corvus (ship)']};
30;Agent Tierny;A specially-trained member of the First Order Security Bureau with a mysterious scar on her jaw, Agent Tierny hopes to restore peace to the galaxy through absolute order. A master of manipulation, Tierny's tactics more often involve lulling her targets into a false sense of security rather than using more aggressive forms of interrogation. Her arrival at the Colossus platform, as part of a First Order security takeover, ushers in sheer chaos when the platform is plunged deep into the waters of Castilon, leaving only Doza Tower above sea level. ;['the First Order', 'Tam Ryvora', 'Colossus', 'Varkana', 'Jarek Yeager', 'CB-23', 'Tam', 'Colossus', 'Kaz', 'Yeager', 'Supreme Leader Kylo Ren'];{'Appearances': ['Star Wars Resistance'], 'Affiliations': ['The First Order'], 'Gender': ['Female']};
31;Ahsoka Tano;Ahsoka Tano, a Togruta female, was the Padawan learner to Anakin Skywalker and a hero of the Clone Wars. Alongside Anakin, she grew from headstrong student into a mature leader. But her destiny laid along a different path than the Jedi.;"['Plo Koon', 'Jedi Order', 'Yoda', 'Anakin Skywalker', 'Separatist', 'Clone Captain Rex', 'General Grievous', 'Cad Bane', 'Cato Parasitti', 'Lux Bonteri', 'Republic', 'Trandoshans', 'Ilum', 'Jedi Temple', 'Bariss Offee', 'Coruscant', 'Trace Martez', 'Rafa', 'the Silver Angel', 'Kessel', 'Pyke Syndicate', 'Trace', 'Rafa', 'Marg Krim', 'Oba Diah', 'Bo-Katan Kryze', 'Maul', ""Anakin Skywalker's"", 'Lady Bo-Katan Kryze', 'Obi-Wan Kenobi', 'Captain Rex', 'Maul', 'Mandalore', 'Anakin Skywalker', 'Obi-Wan Kenobi', 'Darth Sidious', 'Maul', 'Darth Sidious', 'Rex', 'Rex', 'Y-wing', 'Empire', 'Mustafar', 'Kanan Jarrus', 'Ezra Bridger', 'Ghost', 'Seventh Sister', 'Fifth Brother', 'Darth Vader', 'Malachor', 'Anakin']";"{'Appearances': ['The Mandalorian', 'The Book of Boba Fett', 'Star Wars: The Clone Wars', 'Star Wars Rebels', 'Tales of the Jedi'], 'Affiliations': ['Jedi Order'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.7m '], 'species': ['Togruta'], 'Weapons': ['Lightsaber', ""Ahsoka's lightsabers""], 'Vehicles': ['Alderaan Cruiser', 'Jedi Starfighter']}";
32;Albrekh;An eccentric Sith alchemist and metalsmith known for a steady hand, Albrekh uses an ancient Sith forge to join the fragments of Kylo Ren’s shattered helmet with a glowing red lattice of Sarrassian iron.;;{'Appearances': ['Star Wars: The Rise of Skywalker (Episode IX)'], 'Gender': ['Male']};
33;Alcida-Auka;Alcida-Auka is the matron of the Caretakers on Ahch-To’s sacred island, and oversees their maintenance of the island’s structures, a religious duty that has fallen to them for eons. Alcida-Auka refers to the other Caretakers as her “daughters” and instructs them in their proper duties. While she has accepted Luke Skywalker as a seeker of truth, she has doubts about his reckless new apprentice.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['Caretakers'], 'Locations': ['Ahch-To'], 'Gender': ['Female'], 'species': ['Lanai']};
34;Alderaanian Royal guards;Loyal sentinels sworn to the protection of the Royal House of Alderaan, Alderaanian guards can be found throughout the palace and much of its surrounding grounds, keeping watch over the first family. ;;{'Locations': ['Alderaan', 'Royal Palace of Alderaan ']};
35;Alexsandr Kallus;Formerly an officer of the Imperial Security Bureau, Alexsandr Kallus defected from the Empire and now serves the Rebellion. A smart strategist and able warrior, he fights to free the galaxy of tyranny alongside his friends on the Ghost crew.;['Empire', 'Hera Syndulla', 'Lothal', 'Grand Admiral Thrawn', 'Lieutenant Lyste'];{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Imperial Security Bureau'], 'Locations': ['Coruscant'], 'Gender': ['Male'], 'Creature': ['Bonzami'], 'Weapons': ['Lasan Honor Guard AB-75 Bo-Rifle']};
36;Alora;During his reign, the Emperor looked to destroy all opposition to his power. Any Jedi could be a threat to him, so the Inquisitors were tasked with hunting down all Force-sensitive children. Alora, just a baby and strong with the Force, was tracked by the Fifth Brother and Seventh Sister on a civilian ship. The two dark warriors took the baby from her grandmother’s arms, but the Inquisitors would not complete this mission. Ahsoka Tano and the Ghost crew intervened, eventually returning Alora to her family.;;{'Appearances': ['Star Wars Rebels'], 'Gender': ['Female'], 'species': ['Human']};
37;Alrich Wren;Father of rebel Sabine and husband of Ursa, Alrich Wren is a proud Mandalorian. When Clan Wren broke from the Empire, he was held captive in retaliation, but was ultimately rescued by his daughter. Alrich, along with Clan Wren, now stands united with Mandalore under Bo-Katan Kryze. He is also knowledgable of the arts, both proud and critical of Sabine's work.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Clan Wren'], 'Locations': ['Mandalore'], 'Gender': ['Male'], 'species': ['Human']};
38;Alton Kastle;A journalist for HoloNet News, Alton Kastle was regarded by the Imperial citizens of Lothal as a trustworthy, even comforting source of information. Those in the know scoffed that Kastle's reports were Imperial propaganda -- their primary purpose was to maintain order in the name of the Empire, not to tell the truth or anything close to it.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'Locations': ['Lothal'], 'Gender': ['Male'], 'species': ['Human']};
39;Amda Wabo;Amda Wabo, a male Aqualish, was a weapons manufacturer on Garel during the age of the Empire. He had set in place a deal to sell banned T-7 ion disruptors to the Empire, but his plans fell through due to a slight language barrier...courtesy of a group of Lothal rebels.;;{'Appearances': ['Star Wars Rebels'], 'Locations': ['Garel'], 'Gender': ['Male']};
40;Amilyn Holdo;An unconventional Resistance officer, Amilyn Holdo was one of Leia Organa’s oldest friends. She assumed command of the Resistance fleet after Leia was injured. As the peril to the Resistance grew, Holdo’s insistence on secrecy and her brusque manner led her into conflict with Poe Dameron. She sacrificed her life to save the Resistance transports during the desperate flight to Crait.    ;['Leia Organa', 'Coruscant’s', 'Resistance', 'First Order', 'Raddus', 'Poe Dameron', 'transports'];{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['The Resistance'], 'Gender': ['Female'], 'species': ['Human'], 'Vehicles': ['The Raddus', 'The Ninka']};
41;Amis;During the Clone Wars, Amis was one of the brightest students groomed for leadership for the next generation of Mandalore -- a plan complicated by the sudden turmoil that engulfed the neutral planet during the conflict. As a Royal Academy of Government cadet, Amis was the wise-cracker amongst his friends, a good-spirited student who often thought with his stomach. Together with his pals, he helped expose corruption at the highest level of Mandalorian politics, but thwarting a black market conspiracy was child's play compared to the rise of Death Watch.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Mandalore Royal Academy of Government', 'New Mandalorians'], 'Locations': ['Mandalore'], 'Gender': ['Male'], 'Vehicles': ['Speeder Bike'], 'Weapons': ['Blaster Pistol']};
42;Anakin Skywalker;Discovered as a slave on Tatooine by Qui-Gon Jinn and Obi-Wan Kenobi, Anakin Skywalker had the potential to become one of the most powerful Jedi ever. Some even believed he was the prophesied Chosen One who would bring balance to the Force. Always pushing the limits of his Jedi training, seeking to excel and live up to his reputation, Skywalker's passion often brought him into conflict with his mentor, Jedi Master Obi-Wan Kenobi. A hero of the Clone Wars, Anakin was caring and compassionate, but suffered from a deep fear of loss that would prove to be his downfall. ;['Shmi', 'Tatooine', 'Watto', 'Qui-Gon Jinn', 'Jar Jar Binks', 'Naboo handmaiden', 'Padmé', 'starship', 'Boonta Eve Classic Podrace', 'Yoda', 'Order', 'Obi-Wan Kenobi', 'Naboo', 'Trade Federation', 'Naboo starfighter', 'Darth Maul', 'Supreme Chancellor Palpatine', 'Sand People', 'Geonosis', 'Separatists', 'Count Dooku', 'Ahsoka Tano', 'Ahsoka Tano', 'Mandalore', 'Bo-Katan', 'Maul', 'Captain Rex', 'Coruscant', 'Darth Sidious', 'Mace Windu', 'Darth Vader', 'Mustafar', 'Luke', 'Leia', 'Force lightning', 'Endor'];{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)', 'Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Obi-Wan Kenobi', 'Star Wars: The Clone Wars', 'Star Wars Rebels', 'Tales of the Jedi'], 'Affiliations': ['Jedi Order'], 'Locations': ['Tatooine'], 'Dimensions': ['Height: 1.88m '], 'Weapons': ['Lightsaber', 'Skywalker lightsaber'], 'Vehicles': ['Delta-7 Jedi Starfighter']};
43;AP-5;Proud and honorable, AP-5 was a droid that served as a navigator for the Republic military during the Clone Wars. Following the formation of the Empire, however, he was reassigned to inventory. While the position did not take advantage of his gifts, he performed his duties without complaint -- despite threats and disrespect from his Imperial commanders. It was only after a fateful meeting with the rebel astromech Chopper that AP-5 came to see he did not have to serve the Empire. He helped Chopper escape capture and defected to the rebels, helping find a safe haven away from Imperial forces.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'droid': ['Inventory Droid']};
44;Appo;A clone trooper in Republic service, Appo took part in a number of critical battles during the fight against the Separatists. As a sergeant, he served under General Pong Krell on Umbara, and saw firsthand Krell’s willingness to throw away the lives of his troops. In the final days of the war Appo accompanied Anakin Skywalker to Coruscant’s Jedi Temple as part of Order 66. When Senator Bail Organa arrived during the aftermath of the Temple attack, Appo told him of the “Jedi rebellion” and ordered him to leave the area.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol']};
45;Arashell Sar;Arashell Sar is one of several abandoned children working in the Canto Casino’s fathier stables. She spends her days mucking stalls, feeding fathiers, cleaning saddles and gear and doing everything else Bargwill Tomder demands.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Locations': ['Canto Casino'], 'Gender': ['Female'], 'species': ['Human']};
46;ARC Trooper Fives;Also known as CT-27-5555, Fives trained with Domino Squad on Kamino before being shipped out to the Rishi Moon listening outpost. He survived the Separatist attack on the station there, and was transferred to the 501st Legion alongside his squadmate and fellow survivor, Echo. Fives and Echo were promoted to ARC trooper status after the defense of Kamino from Separatist invaders. He and Echo were later assigned with the difficult mission of freeing Republic prisoners from the daunting Citadel prison installation on Lola Sayu. He and Echo were later part of a mission to free Republic prisoners from the Separatist prison called the Citadel. Echo fell in battle, leaving Fives as Domino Squad’s sole survivor. Fives accompanied the clone trooper Tup to Kamino for medical testing, where he discovered a terrifying secret about the clones’ origins and ultimate purpose.;['Kamino', 'Echo', 'Even Piell', 'Tarkin', 'the Citadel', 'Umbara', 'General Pong Krell', 'Umbaran starfighters', 'Ringo Vinda', 'clone trooper Tup', 'Tiplar', 'AZI-3'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle']};
47;Ardo Barodai;Vanguard Squadron’s intelligence chief, Ardo Barodai, lived on Mon Cala during its Imperial occupation. He played the foolish alien - often as a bartender - to eavesdrop on careless Imperial officers and pass intelligence along to the Rebellion. Now serving the New Republic, Ardo keeps up his kindly, rumpled persona. Few suspect that underneath lies the mind of a skilled strategist and spymaster.;;{'species': ['Mon Calamari']};
48;Arvel Skeen;A seasoned and jaded soldier, Arvel Skeen has spent hard time in tough Imperial prisons. Fueled by revenge, Skeen's interest in rebel activity stems from his desire to exact payback on the Imperial authority that put him in a cell.;;{'Appearances': ['Andor']};
49;Asajj Ventress;An assassin trained in the ways of the dark side by Count Dooku, Asajj Ventress yearned to be considered a true Sith, but such status wasn't allowed under the Sith's Rule of Two. Ventress fought with twin red-bladed lightsabers, and clashed with Obi-Wan Kenobi and Anakin Skywalker many times. But her destiny would not lie with the Sith. After Dooku rejected her as his apprentice and tried to kill her, Ventress returned to her roots as a Nightsister, made a living as a bounty hunter, and – in the strangest twist of all – rediscovered the way of the light that she’d rejected long ago as a Jedi Padawan.;['Dathomir', 'Nightsisters', 'Count Dooku', 'Sith', 'Rotta', 'Jabba the Hutt', 'Anakin Skywalker', 'Ahsoka Tano', 'Obi-Wan Kenobi', 'Darth Sidious', 'Mother Talzin', 'Nightbrother', 'Savage Opress', 'Quinlan Vos'];"{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Nightsisters', 'Sith'], 'Locations': ['Dathomir'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.79m '], 'species': ['Dathomirian'], 'Weapons': [""Asajj Ventress's lightsabers""]}";
50;Ask Aak;Ask Aak was the Gran senator representing Malastare during the crisis that led to the Clone Wars. As a member of Chancellor Palpatine’s inner-circle, he was privy to many of the meetings and decisions that allowed the Republic to take military action against the secessionists threatening to leave the Republic. He was a strong proponent of this action, but allowed Representative Binks to advance the military creation act.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)'], 'Affiliations': ['Galactic Senate'], 'Locations': ['Coruscant', 'Malastare'], 'Gender': ['Male'], 'species': ['Gran']};
51;Atai Molec;Atai Molec is the ruthless prime minister of Zygerria who will do whatever it takes to bring his homeworld back to its former majesty. He also serves as Captain of the Guard, leading the royal sentinels sworn to protect the Queen and enforce Zygerrian dominance over their slaves. Despite his rank, Molec often took a hands-on approach. He has been known to personally prowl the markets on foot, vigiliant for any inklings of rebellion, and he delights in breaking slaves himself, brandishing the Zygerrian electro-whip with unrivaled cruelty.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Confederacy of Independent Systems'], 'Locations': ['Zygerria'], 'species': ['Zygerrian'], 'Vehicles': ['Zygerrian Slave Ship']};
